	full_name	abbreviation	ELO	Wins	Losses	Win Streak	Lose Streak
0	Atlanta Hawks	ATL	-1483.42	21	48	0	1
1	Boston Celtics	BOS	1208.6999999999994	49	25	0	1
2	Cleveland Cavaliers	CLE	-1613.3500000000001	20	47	0	1
3	New Orleans Pelicans	NOP	-512.2099999999998	31	43	0	3
4	Chicago Bulls	CHI	-1288.33	23	44	1	0
5	Dallas Mavericks	DAL	344.1300000000001	44	33	0	2
6	Denver Nuggets	DEN	950.7000000000003	47	28	0	3
7	Golden State Warriors	GSW	-1620.3199999999997	16	51	0	1
8	Houston Rockets	HOU	858.8099999999998	45	29	0	3
9	Los Angeles Clippers	LAC	1394.8999999999999	50	24	2	0
10	Los Angeles Lakers	LAL	1522.0599999999995	53	20	0	1
11	Miami Heat	MIA	541.6599999999999	45	30	0	2
12	Milwaukee Bucks	MIL	2082.37	57	18	0	1
13	Minnesota Timberwolves	MIN	-1656.1700000000003	20	46	0	3
14	Brooklyn Nets	BKN	-42.00000000000009	36	38	0	1
15	New York Knicks	NYK	-1345.1699999999996	22	46	1	0
16	Orlando Magic	ORL	-322.69000000000005	34	41	1	0
17	Indiana Pacers	IND	996.8200000000004	46	29	2	0
18	Philadelphia 76ers	PHI	612.1999999999996	44	31	1	0
19	Phoenix Suns	PHX	-438.3900000000002	35	40	8	0
20	Portland Trail Blazers	POR	32.29000000000002	36	40	3	0
21	Sacramento Kings	SAC	-424.44999999999976	32	42	2	0
22	San Antonio Spurs	SAS	-286.25999999999993	33	40	0	1
23	Oklahoma City Thunder	OKC	1125.4000000000005	45	29	0	1
24	Toronto Raptors	TOR	1996.8600000000001	54	20	4	0
25	Utah Jazz	UTA	843.2900000000003	45	29	1	0
26	Memphis Grizzlies	MEM	-194.0300000000002	35	40	1	0
27	Washington Wizards	WAS	-1196.43	26	48	1	0
28	Detroit Pistons	DET	-1472.94	21	47	0	5
29	Charlotte Hornets	CHA	-1056.9200000000003	24	43	1	0
