	GAME_ID	MATCHUP	WL	LEFT_ELO	RIGHT_ELO
2459	0021400003	LAL vs. HOU	L	-215.0	205.0
2458	0021400002	DAL @ SAS	L	5.0	285.0
2456	0021400001	ORL @ NOP	L	-255.0	5.0
2453	0021400014	GSW @ SAC	W	175.0	-205.0
2451	0021400008	TOR vs. ATL	W	145.0	-105.0
2450	0021400005	PHI @ IND	L	-295.0	225.0
2449	0021400012	HOU @ UTA	W	347.5	-235.0
2448	0021400013	PHX vs. LAL	W	145.0	-357.5
2447	0021400006	BKN @ BOS	L	-45.0	-85.0
2446	0021400011	DET @ DEN	L	-195.0	25.0
2445	0021400004	CHA vs. MIL	W	75.0	-335.0
2444	0021400007	WAS @ MIA	L	-45.0	205.0
2441	0021400015	OKC @ POR	L	105.0	205.0
2440	0021400009	MIN @ MEM	L	-85.0	165.0
2435	0021400010	NYK vs. CHI	L	-115.0	145.0
2429	0021400020	OKC @ LAC	L	-37.5	235.0
2428	0021400017	MIN vs. DET	W	-77.5	-337.5
2427	0021400016	WAS @ ORL	W	112.5	-397.5
2426	0021400019	DAL vs. UTA	W	12.5	-377.5
2423	0021400018	NYK @ CLE	W	-32.5	-155.0
2419	0021400026	LAC @ LAL	W	377.5	-494.17
2418	0021400025	POR @ SAC	L	197.5	-197.5
2417	0021400024	SAS @ PHX	L	127.5	287.5
2415	0021400023	PHI @ MIL	L	-437.5	-327.5
2414	0021400022	CLE @ CHI	W	-147.5	137.5
2413	0021400021	MEM @ IND	W	307.5	217.5
2407	0021400028	MEM @ CHA	W	444.16999999999996	-157.5
2406	0021400030	MIA @ PHI	W	347.5	-574.1700000000001
2405	0021400031	WAS vs. MIL	W	110.83	-254.17000000000002
2403	0021400029	ORL vs. TOR	L	-534.1700000000001	287.5
2402	0021400037	UTA vs. PHX	W	-289.17	199.17
2401	0021400036	DEN @ OKC	L	17.5	50.83
2400	0021400033	BKN @ DET	W	-37.5	-474.16999999999996
2398	0021400038	GSW vs. LAL	W	317.5	-627.9200000000001
2397	0021400032	IND @ ATL	L	69.17000000000002	-97.5
2396	0021400034	BOS @ HOU	L	-92.5	484.17
2395	0021400035	MIN vs. CHI	L	-4.170000000000002	64.17
2393	0021400027	NOP vs. DAL	L	-2.5	160.82999999999998
2383	0021400042	GSW @ POR	W	454.16999999999996	49.17
2381	0021400040	TOR @ MIA	L	-25.830000000000013	484.17
2380	0021400041	CHA @ NYK	L	-80.83	40.83
2379	0021400039	SAC @ LAC	W	-49.17	289.17
2375	0021400045	NOP @ MEM	L	-150.82999999999998	577.92
2374	0021400047	DEN vs. SAC	L	-130.82999999999998	93.33
2372	0021400046	BOS @ DAL	L	-240.82999999999998	303.33
2371	0021400044	BKN vs. OKC	W	110.83	52.08
2369	0021400043	HOU @ PHI	W	617.9200000000001	-707.9200000000001
2367	0021400048	LAC vs. UTA	W	212.92000000000002	-212.92000000000002
2363	0021400053	CHI vs. ORL	W	206.67000000000002	-667.9200000000001
2361	0021400052	OKC @ TOR	L	-11.920000000000002	197.92
2360	0021400056	PHX @ LAL	W	497.91999999999996	-759.9200000000001
2359	0021400054	NOP vs. CHA	W	-143.32999999999998	-223.32999999999998
2358	0021400049	MIL @ IND	W	-321.67	-73.32999999999998
2357	0021400051	WAS @ NYK	W	253.32999999999998	33.33
2355	0021400055	POR vs. CLE	W	56.67	-74.17
2351	0021400050	HOU @ MIA	W	749.9200000000001	-57.079999999999984
2347	0021400057	CHA vs. MIA	W	-62.329999999999984	164.92000000000002
2346	0021400067	DEN @ SAC	L	-273.33	232.32999999999998
2345	0021400068	GSW vs. LAC	W	587.92	-23.079999999999984
2344	0021400063	WAS vs. IND	W	392.33	-212.32999999999998
2343	0021400058	ORL @ PHI	W	-424.92	-839.9200000000001
2341	0021400065	PHX vs. MEM	L	186.92	709.92
2340	0021400066	CLE @ UTA	L	-216.67000000000002	-201.92000000000002
2339	0021400061	NYK @ DET	L	-112.67	-232.91999999999996
2337	0021400060	BKN vs. MIN	L	103.33	-71.67
2335	0021400062	CHI @ MIL	W	345.67	-400.67
2333	0021400064	SAS vs. ATL	W	204.17000000000002	-24.17
2331	0021400059	TOR @ BOS	W	261.91999999999996	-383.33
2323	0021400069	HOU vs. SAS	W	880.75	-178.32999999999998
2322	0021400070	POR vs. DAL	W	202.67000000000002	217.32999999999998
2319	0021400071	CHA vs. ATL	W	11.000000000000014	-166.67000000000002
2318	0021400077	WAS @ TOR	L	78.99999999999997	398.59
2317	0021400076	MIL @ DET	L	-393.17	-154.91999999999996
2316	0021400078	OKC vs. MEM	L	-148.59	840.75
2315	0021400074	IND @ BOS	L	-349.0	-297.33
2314	0021400079	SAC @ PHX	W	369.0	38.58999999999999
2313	0021400072	MIN @ ORL	L	-0.6700000000000017	-270.75
2310	0021400075	BKN vs. NYK	W	32.33	-255.17000000000002
2305	0021400080	UTA vs. DAL	L	-203.59000000000003	144.0
2304	0021400073	PHI vs. CHI	L	-970.7500000000001	482.34000000000003
2300	0021400081	DEN vs. CLE	L	-412.33	-205.67000000000002
2297	0021400087	HOU vs. GSW	L	110.75	719.92
2296	0021400084	NYK @ ATL	L	-395.17	-155.67000000000002
2295	0021400089	SAS vs. NOP	L	125.67000000000002	2.670000000000016
2294	0021400082	POR @ LAC	L	195.17000000000002	203.59000000000003
