	GAME_ID	MATCHUP	WL	LEFT_ELO	RIGHT_ELO
2117	0021900001	NOP @ TOR	L	-155.0	245.0
2116	0021900002	LAC vs. LAL	W	145.0	-115.0
2113	0021900005	ORL vs. CLE	W	85.0	-295.0
2112	0021900006	BKN vs. MIN	L	-65.0	25.0
2111	0021900012	SAC @ PHX	L	-95.0	-145.0
2110	0021900004	DET @ IND	W	75.0	-5.0
2108	0021900009	WAS @ DAL	L	-165.0	-5.0
2107	0021900007	MEM @ MIA	L	-155.0	55.0
2106	0021900011	OKC @ UTA	L	5.0	165.0
2103	0021900003	CHA vs. CHI	W	55.0	-265.0
2102	0021900010	NYK @ SAS	L	-315.0	145.0
2100	0021900008	PHI vs. BOS	W	175.0	5.0
2098	0021900013	DEN @ POR	W	205.0	45.0
2091	0021900016	LAC @ GSW	W	287.5	85.0
2090	0021900014	ATL @ DET	W	-45.0	-7.5
2088	0021900015	HOU vs. MIL	L	45.0	265.0
2085	0021900021	DAL @ NOP	W	137.5	-297.5
2084	0021900018	MIN @ CHA	W	167.5	-102.5
2082	0021900025	UTA @ LAL	L	157.5	-107.5
2081	0021900017	BOS vs. TOR	W	12.5	237.5
2080	0021900023	PHX @ DEN	L	-302.5	347.5
2078	0021900019	BKN vs. NYK	W	-57.5	-457.5
2076	0021900024	SAC vs. POR	L	-237.5	52.5
2075	0021900020	MEM vs. CHI	L	-297.5	-257.5
2074	0021900022	WAS @ OKC	W	-7.5	-137.5
2067	0021900032	NOP @ HOU	L	-434.16999999999996	277.5
2066	0021900026	MIL vs. MIA	L	107.5	197.5
2065	0021900028	ATL vs. ORL	W	97.5	-72.5
2064	0021900029	BOS @ NYK	W	160.82999999999998	-594.1700000000001
2063	0021900030	CLE vs. IND	W	-287.5	-147.5
2062	0021900031	CHI vs. TOR	L	-184.17000000000002	164.17000000000002
2061	0021900035	PHX vs. LAC	W	-225.82999999999998	199.17
2060	0021900034	UTA vs. SAC	W	309.17	-374.16999999999996
2059	0021900033	WAS @ SAS	L	-234.17000000000002	287.5
2056	0021900027	PHI @ DET	W	317.5	-80.83
2047	0021900039	MIA @ MIN	L	109.17	304.17
2046	0021900037	MEM vs. BKN	W	-209.17	15.829999999999998
2044	0021900038	DAL vs. POR	L	49.17	200.82999999999998
2043	0021900040	LAL vs. CHA	W	40.83	-100.83
2042	0021900036	OKC vs. GSW	W	100.83	-57.5
2037	0021900042	CHI @ NYK	L	-326.67	-352.92
2036	0021900047	GSW @ NOP	W	330.83	-567.92
2035	0021900041	IND @ DET	L	-284.17	151.67000000000002
2034	0021900043	PHI @ ATL	W	454.16999999999996	9.17
2033	0021900050	SAC vs. DEN	L	-507.91999999999996	484.17
2032	0021900048	POR @ SAS	L	193.32999999999998	424.16999999999996
2030	0021900045	OKC @ HOU	L	-47.92	200.82999999999998
2029	0021900046	MIL vs. CLE	W	184.17000000000002	-214.17000000000002
2028	0021900051	LAC vs. CHA	W	122.91999999999999	-243.32999999999998
2026	0021900044	TOR vs. ORL	W	306.67	-70.83
2022	0021900049	UTA @ PHX	W	226.67000000000002	-158.32999999999998
2015	0021900053	DAL @ DEN	W	-27.08	317.92
2014	0021900054	MEM @ LAL	L	-282.91999999999996	183.32999999999998
2011	0021900052	MIA vs. ATL	W	107.92	-142.07999999999998
2009	0021900059	IND @ BKN	W	-42.92	-126.67
2008	0021900065	GSW vs. PHX	L	107.08	-229.32999999999998
2007	0021900058	BOS vs. MIL	W	303.33	101.67000000000002
2005	0021900063	LAC @ UTA	L	186.92	365.67
2004	0021900055	CLE vs. CHI	W	-281.67	-465.67
2003	0021900062	POR @ OKC	W	122.32999999999998	-111.92
2002	0021900060	TOR vs. DET	W	445.67	-152.32999999999998
2001	0021900057	PHI vs. MIN	W	587.92	137.92000000000002
1998	0021900056	ORL vs. NYK	W	-63.33	-349.92
1994	0021900061	HOU @ WAS	W	343.33	-226.67000000000002
1993	0021900064	CHA @ SAC	W	217.67000000000002	-639.92
1987	0021900066	MIA @ ATL	W	171.92000000000002	-288.08
