	full_name	abbreviation	ELO	Wins	Losses	Win Streak	Lose Streak
0	Atlanta Hawks	ATL	-1259.3500000000008	30	54	0	3
1	Boston Celtics	BOS	953.2500000000006	50	34	1	0
2	Cleveland Cavaliers	CLE	-2103.0599999999995	20	64	0	10
3	New Orleans Pelicans	NOP	-957.1100000000001	34	50	0	1
4	Chicago Bulls	CHI	-2047.98	23	61	0	3
5	Dallas Mavericks	DAL	-1099.82	34	50	0	1
6	Denver Nuggets	DEN	1286.5799999999995	55	29	1	0
7	Golden State Warriors	GSW	1790.4399999999996	58	26	0	1
8	Houston Rockets	HOU	1751.9399999999998	54	30	0	1
9	Los Angeles Clippers	LAC	739.04	49	35	1	0
10	Los Angeles Lakers	LAL	-597.6799999999998	38	46	0	1
11	Miami Heat	MIA	-134.43000000000004	40	44	0	1
12	Milwaukee Bucks	MIL	1941.2499999999998	61	23	0	1
13	Minnesota Timberwolves	MIN	-493.8800000000001	37	47	0	3
14	Brooklyn Nets	BKN	111.47	43	41	3	0
15	New York Knicks	NYK	-2688.990000000001	18	66	0	1
16	Orlando Magic	ORL	110.06999999999996	43	41	4	0
17	Indiana Pacers	IND	669.2399999999994	49	35	1	0
18	Philadelphia 76ers	PHI	1141.0999999999995	52	32	1	0
19	Phoenix Suns	PHX	-2434.859999999999	20	64	0	2
20	Portland Trail Blazers	POR	1387.27	54	30	3	0
21	Sacramento Kings	SAC	-430.14000000000004	40	44	0	3
22	San Antonio Spurs	SAS	859.53	49	35	3	0
23	Oklahoma City Thunder	OKC	894.7599999999998	50	34	5	0
24	Toronto Raptors	TOR	1804.7299999999996	59	25	2	0
25	Utah Jazz	UTA	1208.1700000000003	51	33	0	1
26	Memphis Grizzlies	MEM	-1222.9799999999993	34	50	1	0
27	Washington Wizards	WAS	-872.7300000000002	33	51	0	4
28	Detroit Pistons	DET	-65.24000000000007	42	42	2	0
29	Charlotte Hornets	CHA	-266.41999999999996	40	44	0	1
