	GAME_ID	MATCHUP	WL	LEFT_ELO	RIGHT_ELO
2459	0021800002	GSW vs. OKC	W	245.0	-5.0
2458	0021800001	BOS vs. PHI	W	215.0	35.0
2455	0021800005	IND vs. MEM	W	145.0	-265.0
2454	0021800003	MIL @ CHA	W	105.0	-125.0
2453	0021800012	LAC vs. DEN	L	-65.0	125.0
2452	0021800007	ATL @ NYK	L	-245.0	-45.0
2451	0021800008	TOR vs. CLE	W	255.0	15.0
2449	0021800006	ORL vs. MIA	W	-85.0	-45.0
2447	0021800011	SAC vs. UTA	L	-215.0	145.0
2445	0021800010	MIN @ SAS	L	-15.0	135.0
2444	0021800009	NOP @ HOU	W	145.0	165.0
2443	0021800013	PHX vs. DAL	W	-125.0	-245.0
2441	0021800004	BKN @ DET	L	-205.0	55.0
2433	0021800016	POR vs. LAL	W	155.0	-135.0
2431	0021800014	CHI @ PHI	L	-215.0	117.5
2430	0021800015	WAS vs. MIA	L	-55.0	-37.5
2427	0021800018	BKN vs. NYK	W	-197.5	-52.5
2426	0021800022	NOP vs. SAC	W	287.5	-357.5
2425	0021800020	MEM vs. ATL	W	-107.5	-387.5
2424	0021800023	MIL vs. IND	W	247.5	-12.5
2423	0021800017	ORL vs. CHA	L	-92.5	-117.5
2422	0021800019	TOR vs. BOS	W	397.5	207.5
2421	0021800021	MIN vs. CLE	W	142.5	-127.5
2417	0021800025	LAC vs. OKC	W	-57.5	-147.5
2413	0021800024	UTA vs. GSW	L	-12.5	387.5
2409	0021800030	MIA vs. CHA	L	35.83	30.83
2408	0021800035	HOU @ LAL	W	172.5	-277.5
2407	0021800032	MIN @ DAL	L	65.83	-237.5
2406	0021800026	BKN @ IND	L	-124.17	64.17
2405	0021800029	PHI vs. ORL	W	190.82999999999998	-240.82999999999998
2404	0021800033	PHX @ DEN	L	-282.5	267.5
2402	0021800031	CHI vs. DET	L	-357.5	197.5
2401	0021800034	SAS @ POR	L	-22.5	297.5
2400	0021800028	BOS @ NYK	W	134.17000000000002	-200.82999999999998
2395	0021800027	WAS vs. TOR	L	-197.5	534.1700000000001
2389	0021800039	HOU @ LAC	L	245.82999999999998	90.83
2388	0021800037	SAC @ OKC	W	-269.17	-284.17
2387	0021800036	ATL @ CLE	W	-299.17	-264.17
2386	0021800038	DEN vs. GSW	W	404.16999999999996	74.17000000000002
2381	0021800047	PHX @ GSW	L	-280.83	222.92000000000002
2380	0021800046	POR vs. WAS	L	209.17	-109.17
2379	0021800043	IND @ MIN	L	131.67000000000002	-1.6700000000000017
2378	0021800045	UTA vs. MEM	L	-10.829999999999998	-109.17000000000002
2377	0021800041	TOR vs. CHA	W	667.9200000000001	-276.67
2375	0021800040	BOS vs. ORL	L	201.67000000000002	-233.32999999999998
2374	0021800048	LAL vs. SAS	L	-414.16999999999996	279.17
2372	0021800044	DAL vs. CHI	W	-89.17000000000002	-494.17
2371	0021800042	MIL vs. NYK	W	384.16999999999996	-343.33
2363	0021800049	PHI @ DET	L	183.32999999999998	334.17
2361	0021800050	LAC @ NOP	L	-141.67000000000002	424.16999999999996
2360	0021800051	DEN vs. SAC	W	537.92	-492.92
2357	0021800056	CHI vs. CHA	W	-327.92	-122.67
2356	0021800058	SAS vs. IND	L	121.67	60.670000000000016
2355	0021800060	PHX vs. LAL	L	-423.33	-247.92
2354	0021800057	HOU vs. UTA	L	103.32999999999998	71.67
2353	0021800053	CLE vs. BKN	L	-397.92	108.32999999999998
2352	0021800059	MIL vs. PHI	W	517.92	37.329999999999984
2350	0021800054	MIA vs. NYK	W	-31.67	-482.33
2349	0021800062	GSW vs. WAS	W	361.92	-107.92
2348	0021800055	TOR vs. MIN	W	799.9200000000001	69.33
2347	0021800061	MEM @ SAC	L	-116.67000000000002	-256.92
2346	0021800052	ATL vs. DAL	W	-147.92000000000002	-171.67000000000002
2335	0021800064	ORL vs. POR	L	-162.32999999999998	132.92
2334	0021800065	BOS @ OKC	W	130.67000000000002	-417.92
2333	0021800066	LAL vs. DEN	W	-94.91999999999999	294.91999999999996
2331	0021800063	CLE @ DET	L	-529.9200000000001	467.92
2327	0021800069	DAL @ TOR	L	-242.67000000000002	930.75
2326	0021800070	LAC @ HOU	W	162.32999999999998	-35.670000000000016
2325	0021800067	CHI @ CHA	L	-249.92000000000002	-115.17
2324	0021800072	BKN @ NOP	L	-420.67	557.92
2322	0021800068	GSW @ NYK	W	498.59000000000003	-619.0
