	full_name	abbreviation	ELO	Wins	Losses	Win Streak	Lose Streak
0	Atlanta Hawks	ATL	501.64999999999986	42	32	4	0
1	Boston Celtics	BOS	46.01000000000009	37	37	0	1
2	Cleveland Cavaliers	CLE	-1823.69	23	51	0	2
3	New Orleans Pelicans	NOP	-608.9799999999999	32	42	0	4
4	Chicago Bulls	CHI	-585.89	32	42	1	0
5	Dallas Mavericks	DAL	850.0099999999998	43	31	0	1
6	Denver Nuggets	DEN	1424.77	48	26	0	1
7	Golden State Warriors	GSW	219.48000000000016	40	34	6	0
8	Houston Rockets	HOU	-2086.38	18	56	0	1
9	Los Angeles Clippers	LAC	1200.1999999999998	48	26	0	2
10	Los Angeles Lakers	LAL	621.9300000000001	43	31	5	0
11	Miami Heat	MIA	679.3100000000002	41	33	1	0
12	Milwaukee Bucks	MIL	1291.0400000000002	47	27	0	1
13	Minnesota Timberwolves	MIN	-1371.8599999999997	24	50	1	0
14	Brooklyn Nets	BKN	1320.6000000000001	49	25	5	0
15	New York Knicks	NYK	577.6	42	32	3	0
16	Orlando Magic	ORL	-1841.15	22	52	0	7
17	Indiana Pacers	IND	-234.88000000000005	35	39	1	0
18	Philadelphia 76ers	PHI	1384.67	50	24	2	0
19	Phoenix Suns	PHX	1609.5399999999995	52	22	3	0
20	Portland Trail Blazers	POR	623.72	43	31	1	0
21	Sacramento Kings	SAC	-589.1500000000003	32	42	0	3
22	San Antonio Spurs	SAS	-503.36999999999995	34	40	0	4
23	Oklahoma City Thunder	OKC	-1585.1299999999999	23	51	1	0
24	Toronto Raptors	TOR	-799.85	28	46	0	7
25	Utah Jazz	UTA	1709.7200000000003	53	21	2	0
26	Memphis Grizzlies	MEM	280.09999999999997	39	35	0	1
27	Washington Wizards	WAS	-28.640000000000146	35	39	2	0
28	Detroit Pistons	DET	-1743.9299999999994	21	53	0	5
29	Charlotte Hornets	CHA	-432.33	34	40	0	5
