	GAME_ID	MATCHUP	WL	LEFT_ELO	RIGHT_ELO
2459	0021500003	GSW vs. NOP	W	335.0	-35.0
2458	0021500002	CHI vs. CLE	W	165.0	45.0
2456	0021500001	ATL vs. DET	L	115.0	-15.0
2453	0021500016	LAC @ SAC	W	225.0	-195.0
2452	0021500008	MIA vs. CHA	W	35.0	-155.0
2451	0021500014	DAL @ PHX	W	165.0	-95.0
2450	0021500005	PHI @ BOS	L	-305.0	65.0
2449	0021500017	LAL vs. MIN	L	-275.0	-175.0
2448	0021500011	MEM vs. CLE	L	65.0	52.5
2447	0021500009	TOR vs. IND	W	155.0	-105.0
2446	0021500007	UTA @ DET	L	-105.0	127.5
2444	0021500012	NYK @ MIL	W	-165.0	-75.0
2442	0021500004	WAS @ ORL	W	125.0	-235.0
2441	0021500015	NOP @ POR	L	-177.5	175.0
2440	0021500006	BKN vs. CHI	L	-105.0	307.5
2438	0021500013	OKC vs. SAS	W	115.0	65.0
2437	0021500010	HOU vs. DEN	L	75.0	-35.0
2425	0021500020	DAL @ LAC	L	157.5	367.5
2423	0021500018	MEM @ IND	W	222.5	-247.5
2422	0021500019	NYK vs. ATL	L	-172.5	122.5
2419	0021500021	CLE vs. MIA	W	200.82999999999998	-47.5
2418	0021500025	CHI @ DET	L	219.17	264.17
2417	0021500024	TOR @ BOS	W	297.5	57.5
2416	0021500030	HOU vs. GSW	L	-67.5	477.5
2414	0021500026	ATL vs. CHA	W	270.83	-297.5
2413	0021500029	DEN vs. MIN	L	-42.5	-32.5
2411	0021500022	OKC @ ORL	W	257.5	-377.5
2410	0021500032	POR @ PHX	L	167.5	-87.5
2409	0021500028	BKN @ SAS	L	-247.5	222.5
2407	0021500023	PHI vs. UTA	L	-447.5	52.5
2403	0021500027	MIL vs. WAS	L	-217.5	267.5
2399	0021500031	SAC vs. LAL	W	-37.5	-417.5
2395	0021500038	SAC @ LAC	L	-339.17	504.17
2394	0021500034	NYK @ WAS	W	-245.82999999999998	179.17
2392	0021500035	NOP vs. GSW	L	-314.17	614.1700000000001
2391	0021500037	POR vs. PHX	L	19.17	60.83
2390	0021500033	UTA @ IND	W	50.83	-384.16999999999996
2388	0021500036	MEM vs. BKN	W	220.82999999999998	-384.16999999999996
2383	0021500042	MIL @ TOR	L	-354.16999999999996	434.16999999999996
2382	0021500045	DAL @ LAL	W	84.17	-554.1700000000001
2381	0021500039	CHA vs. ATL	L	-434.16999999999996	413.33
2379	0021500043	CHI vs. ORL	W	142.92	-514.1700000000001
2378	0021500040	BOS vs. SAS	L	-90.83	220.82999999999998
2377	0021500044	OKC vs. DEN	W	394.16999999999996	-190.82999999999998
2376	0021500041	MIA vs. HOU	W	179.17000000000002	-204.17000000000002
2369	0021500050	POR @ MIN	W	26.67	-120.83
2368	0021500048	SAS @ NYK	W	363.33	-178.32999999999998
2367	0021500051	GSW vs. MEM	W	747.9200000000001	-86.67000000000002
2366	0021500052	PHX @ LAC	L	-246.67000000000002	637.9200000000001
2365	0021500047	MIL @ BKN	W	-187.92	-517.92
2364	0021500049	OKC @ HOU	L	227.92	-37.92
2361	0021500046	CLE @ PHI	W	343.33	-584.1700000000001
2355	0021500059	LAL vs. DEN	L	-687.9200000000001	-183.32999999999998
2354	0021500054	DET vs. IND	L	97.92	-217.92
2353	0021500056	ORL @ NOP	W	-47.920000000000016	-447.92
2352	0021500057	TOR @ DAL	W	567.92	151.67000000000002
2351	0021500053	CHI @ CHA	L	206.92	-267.91999999999996
2350	0021500055	MIA vs. ATL	L	-203.32999999999998	552.3299999999999
2347	0021500058	MEM @ SAC	W	217.32999999999998	-256.67
2341	0021500069	LAC @ GSW	L	19.920000000000016	879.9200000000001
2340	0021500064	HOU vs. ORL	W	115.08	-344.92
2339	0021500060	IND vs. BOS	W	-64.91999999999999	-233.32999999999998
2338	0021500063	CLE vs. NYK	W	482.33	-324.33
2337	0021500067	PHX vs. SAC	W	-17.67	-395.67
2336	0021500068	UTA vs. POR	L	-31.67	172.67000000000002
2332	0021500062	ATL vs. BKN	W	689.0	-649.92
2331	0021500065	PHI @ MIL	L	-717.9200000000001	-34.91999999999999
2330	0021500061	WAS vs. SAS	W	102.91999999999999	277.33
2329	0021500066	TOR @ OKC	W	699.92	74.91999999999999
2321	0021500072	DAL vs. CHA	L	5.670000000000016	-114.91999999999996
2320	0021500070	CHI vs. OKC	W	133.58999999999997	-73.41000000000001
2318	0021500073	UTA @ DEN	W	-27.67	-112.32999999999998
2317	0021500071	MIN vs. MIA	L	-272.08	-49.33
2316	0021500074	MEM @ POR	L	59.829999999999984	315.17
2311	0021500075	ORL vs. TOR	W	-331.59000000000003	380.74999999999994
2309	0021500079	NYK vs. MIL	L	-466.83	113.41000000000001
2308	0021500083	GSW vs. DEN	W	1010.7500000000001	-254.82999999999998
2307	0021500078	PHI @ CLE	L	-849.9200000000001	619.0
2306	0021500081	NOP vs. ATL	L	-579.9200000000001	824.0
2305	0021500080	IND vs. MIA	W	83.41000000000001	18.17
2304	0021500082	DET @ PHX	W	19.92	49.83
2302	0021500077	LAL @ BKN	W	-444.92	-780.75
2301	0021500076	BOS vs. WAS	W	-147.32999999999998	166.92
2300	0021500084	SAC vs. HOU	L	-532.34	263.40999999999997
2291	0021500086	ATL vs. WAS	W	957.75	18.58999999999999
2290	0021500092	GSW @ SAC	W	1140.75	-667.34
2289	0021500085	CHI vs. MIN	L	198.58999999999997	-268.08
2288	0021500091	MEM @ UTA	L	64.82999999999998	114.83
2285	0021500088	NOP @ DAL	L	-710.75	463.17
2284	0021500087	PHI vs. ORL	L	-980.7500000000001	-181.59000000000003
2282	0021500090	CHA @ SAS	L	-116.58999999999996	204.0
2281	0021500089	BKN @ MIL	L	-910.75	258.41
2278	0021500093	LAC vs. HOU	L	240.75	408.40999999999997
2273	0021500097	OKC vs. PHX	W	81.58999999999999	-95.17
2272	0021500094	CLE vs. IND	W	754.0	-371.59
2271	0021500095	LAL @ NYK	L	-365.75	-381.83
2269	0021500096	TOR @ MIA	L	225.74999999999994	-51.83
2267	0021500098	POR vs. DET	L	230.17000000000002	156.59
