	GAME_ID	MATCHUP	WL	LEFT_ELO	RIGHT_ELO
2459	0021700001	BOS @ CLE	L	45.0	175.0
2457	0021700002	HOU @ GSW	W	215.0	185.0
2455	0021700012	PHX vs. POR	L	-245.0	75.0
2454	0021700013	SAC vs. HOU	L	-165.0	357.5
2453	0021700003	DET vs. CHA	W	35.0	-125.0
2452	0021700008	NOP @ MEM	L	-145.0	95.0
2451	0021700004	BKN @ IND	L	-285.0	85.0
2450	0021700011	MIN @ SAS	L	-175.0	275.0
2449	0021700006	WAS vs. PHI	W	155.0	-205.0
2445	0021700009	DAL vs. ATL	L	-155.0	95.0
2443	0021700010	UTA vs. DEN	W	175.0	-85.0
2442	0021700005	MIA @ ORL	L	-75.0	-45.0
2441	0021700007	MIL @ BOS	W	85.0	-97.5
2433	0021700014	CHI @ TOR	L	-75.0	175.0
2432	0021700016	LAL vs. LAC	L	-225.0	175.0
2430	0021700015	NYK @ OKC	L	-175.0	135.0
2427	0021700024	DAL vs. SAC	L	-297.5	-7.5
2426	0021700017	CHA vs. ATL	W	-117.5	87.5
2425	0021700025	NOP vs. GSW	L	-287.5	342.5
2424	0021700023	MIN vs. UTA	W	-167.5	167.5
2423	0021700018	POR @ IND	W	217.5	77.5
2422	0021700021	MIL vs. CLE	L	-72.5	317.5
2421	0021700022	ORL @ BKN	L	-52.5	-277.5
2417	0021700020	WAS vs. DET	W	297.5	-122.5
2414	0021700019	BOS @ PHI	W	-9.17	-347.5
2410	0021700026	PHX vs. LAL	L	-387.5	-217.5
2407	0021700028	CLE vs. ORL	L	229.17	-125.83
2406	0021700033	MEM vs. GSW	W	237.5	265.83
2404	0021700034	POR @ MIL	L	129.17	4.170000000000002
2403	0021700031	SAS @ CHI	W	417.5	-217.5
2402	0021700036	UTA vs. OKC	W	94.17	127.5
2401	0021700032	HOU vs. DAL	W	494.17	-434.16999999999996
2400	0021700037	LAC vs. PHX	W	317.5	-524.1700000000001
2398	0021700030	NYK vs. DET	L	-317.5	104.17
