	GAME_ID	MATCHUP	WL	LEFT_ELO	RIGHT_ELO
2159	0022000002	LAL vs. LAC	L	90.0	205.0
2157	0022000001	GSW @ BKN	L	-250.0	65.0
2155	0022000014	NOP @ TOR	W	15.0	95.0
2154	0022000012	ORL vs. MIA	W	40.0	0.0
2153	0022000018	DET @ MIN	L	-205.0	-55.0
2152	0022000013	WAS @ PHI	L	-185.0	140.0
2151	0022000015	ATL @ CHI	W	-60.0	-180.0
2150	0022000011	NYK @ IND	L	-195.0	160.0
2149	0022000020	UTA @ POR	W	155.0	-95.0
2147	0022000017	MEM vs. SAS	L	-100.0	40.0
2145	0022000010	CLE vs. CHA	W	-60.0	-170.0
2142	0022000019	DEN vs. SAC	L	20.0	25.0
2141	0022000004	PHX vs. DAL	W	50.0	-20.0
2138	0022000003	MIL @ BOS	L	120.0	195.0
2131	0022000009	LAC @ DEN	W	347.5	-122.5
2130	0022000008	LAL vs. DAL	W	247.5	-162.5
2129	0022000006	GSW @ MIL	L	-392.5	277.5
2127	0022000005	MIA vs. NOP	W	7.5	7.5
2123	0022000007	BOS vs. BKN	L	187.5	207.5
2121	0022000029	HOU @ POR	L	5.0	-12.5
2120	0022000026	IND @ CHI	W	302.5	-322.5
2119	0022000024	WAS vs. ORL	L	-327.5	182.5
2117	0022000028	MIN @ UTA	W	87.5	-2.5
2116	0022000027	SAS vs. TOR	W	182.5	-47.5
2115	0022000022	CHA vs. OKC	L	-312.5	155.0
2112	0022000023	CLE @ DET	W	82.5	-347.5
2111	0022000021	MEM vs. ATL	L	-242.5	82.5
2110	0022000025	NYK vs. PHI	L	-337.5	282.5
2106	0022000030	PHX @ SAC	L	42.5	167.5
2101	0022000039	PHX @ SAC	W	-30.83	79.17
2100	0022000035	PHI @ CLE	L	-30.830000000000013	219.17
2099	0022000040	LAL vs. MIN	W	245.82999999999998	-75.83
2098	0022000038	CHI vs. GSW	L	-459.16999999999996	-79.17000000000002
2097	0022000032	BKN @ CHA	L	119.17	-224.17
2096	0022000031	LAC vs. DAL	L	259.17	-74.17
2093	0022000034	NOP vs. SAS	W	-65.83	94.17
2091	0022000037	IND vs. BOS	W	439.16999999999996	39.17
2087	0022000036	MIL @ NYK	L	200.82999999999998	-249.17
2084	0022000033	ORL @ WAS	W	319.17	-464.16999999999996
2081	0022000042	BKN vs. MEM	L	-32.08	-79.16999999999999
2080	0022000045	LAL vs. POR	L	238.32999999999998	60.83
2079	0022000041	ATL vs. DET	W	219.17	-484.17
2078	0022000043	UTA @ OKC	W	74.17	147.5
2077	0022000044	DEN vs. HOU	W	-34.17	-137.5
2071	0022000052	OKC vs. ORL	L	-0.8299999999999983	452.92
2070	0022000051	MIL @ MIA	W	133.32999999999998	80.83
2069	0022000053	PHX vs. NOP	W	111.67	1.6700000000000017
2068	0022000050	CHI @ WAS	W	-292.91999999999996	-597.92
2067	0022000054	LAC vs. MIN	W	182.92000000000002	-152.07999999999998
2066	0022000047	GSW @ DET	W	-152.92000000000002	-617.9200000000001
2065	0022000048	IND vs. BOS	L	272.91999999999996	46.67
2064	0022000049	TOR @ PHI	L	-184.17000000000002	117.91999999999999
2060	0022000046	CLE vs. NYK	L	52.92	-97.91999999999999
2059	0022000055	DEN @ SAC	L	42.08	2.9200000000000017
2051	0022000059	CHA @ DAL	W	-72.91999999999999	2.0799999999999983
2050	0022000057	ATL @ BKN	L	52.92	-28.08
2049	0022000061	LAC vs. POR	W	321.92	-21.67
2048	0022000058	MIL @ MIA	L	204.32999999999998	13.329999999999998
2047	0022000056	BOS vs. MEM	W	192.67000000000002	-152.92
2045	0022000060	SAS vs. LAL	L	-57.08	167.32999999999998
2039	0022000067	OKC vs. NOP	L	-143.32999999999998	-69.33
2038	0022000066	TOR vs. NYK	W	-17.92	-101.91999999999999
2037	0022000065	SAC @ HOU	L	66.92	-49.17
2036	0022000063	CHI @ WAS	W	-139.91999999999996	-729.92
2035	0022000062	CLE @ IND	L	-100.08	269.91999999999996
2033	0022000068	UTA vs. PHX	L	-8.329999999999984	250.67000000000002
2031	0022000064	ORL vs. PHI	L	209.92000000000002	256.91999999999996
2025	0022000072	BKN vs. ATL	L	39.42	-25.08
2024	0022000071	DAL vs. MIA	W	-61.92	84.33
2023	0022000069	MEM @ CHA	W	-141.92	-76.91999999999999
2021	0022000076	DEN vs. PHX	L	-96.92	387.34000000000003
2020	0022000078	GSW vs. POR	L	-156.92000000000002	-17.67
