	full_name	abbreviation	ELO	Wins	Losses	Win Streak	Lose Streak
0	Atlanta Hawks	ATL	1946.6200000000001	61	23	0	3
1	Boston Celtics	BOS	-16.73999999999992	41	43	6	0
2	Cleveland Cavaliers	CLE	1340.1299999999999	54	30	2	0
3	New Orleans Pelicans	NOP	411.2099999999999	46	38	2	0
4	Chicago Bulls	CHI	913.2600000000001	51	33	4	0
5	Dallas Mavericks	DAL	876.7299999999996	51	33	1	0
6	Denver Nuggets	DEN	-1258.98	31	53	0	2
7	Golden State Warriors	GSW	2736.4	68	16	4	0
8	Houston Rockets	HOU	1565.6700000000008	57	27	3	0
9	Los Angeles Clippers	LAC	1754.0500000000002	57	27	7	0
10	Los Angeles Lakers	LAL	-2201.8600000000006	22	62	0	3
11	Miami Heat	MIA	-354.73	38	46	2	0
12	Milwaukee Bucks	MIL	-286.24000000000007	42	42	0	1
13	Minnesota Timberwolves	MIN	-2643.33	17	67	0	12
14	Brooklyn Nets	BKN	-213.66	39	45	1	0
15	New York Knicks	NYK	-2510.9700000000007	18	66	0	1
16	Orlando Magic	ORL	-1880.2499999999998	26	58	0	4
17	Indiana Pacers	IND	48.06999999999984	39	45	0	1
18	Philadelphia 76ers	PHI	-2435.13	19	65	0	10
19	Phoenix Suns	PHX	-326.79999999999995	40	44	0	5
20	Portland Trail Blazers	POR	960.6900000000011	52	32	0	4
21	Sacramento Kings	SAC	-1555.5199999999995	30	54	2	0
22	San Antonio Spurs	SAS	1747.87	56	28	0	1
23	Oklahoma City Thunder	OKC	822.4900000000001	46	38	2	0
24	Toronto Raptors	TOR	647.9100000000004	50	34	1	0
25	Utah Jazz	UTA	-211.74999999999963	39	45	0	1
26	Memphis Grizzlies	MEM	1305.0500000000004	56	28	1	0
27	Washington Wizards	WAS	332.8199999999999	47	37	0	2
28	Detroit Pistons	DET	-857.1699999999995	33	51	1	0
29	Charlotte Hornets	CHA	-770.4900000000001	34	50	0	6
