	full_name	abbreviation	ELO	Wins	Losses	Win Streak	Lose Streak
0	Atlanta Hawks	ATL	881.0200000000001	49	35	0	2
1	Boston Celtics	BOS	792.6200000000001	49	35	1	0
2	Cleveland Cavaliers	CLE	1703.9899999999998	58	26	0	1
3	New Orleans Pelicans	NOP	-943.9199999999997	31	53	0	3
4	Chicago Bulls	CHI	26.79999999999999	43	41	3	0
5	Dallas Mavericks	DAL	107.49000000000004	43	41	0	1
6	Denver Nuggets	DEN	-940.4899999999998	34	50	0	2
7	Golden State Warriors	GSW	3442.539999999999	74	10	4	0
8	Houston Rockets	HOU	226.84000000000017	42	42	3	0
9	Los Angeles Clippers	LAC	1429.54	54	30	0	1
10	Los Angeles Lakers	LAL	-2612.48	18	66	1	0
11	Miami Heat	MIA	675.3999999999999	49	35	0	1
12	Milwaukee Bucks	MIL	-817.3399999999999	34	50	0	2
13	Minnesota Timberwolves	MIN	-1526.2199999999998	30	54	1	0
14	Brooklyn Nets	BKN	-2070.5600000000004	22	62	0	10
15	New York Knicks	NYK	-1323.63	33	51	0	2
16	Orlando Magic	ORL	-869.07	36	48	0	1
17	Indiana Pacers	IND	399.8799999999999	46	38	3	0
18	Philadelphia 76ers	PHI	-3347.9399999999996	11	73	0	4
19	Phoenix Suns	PHX	-2052.4000000000015	24	60	1	0
20	Portland Trail Blazers	POR	607.4000000000001	45	39	1	0
21	Sacramento Kings	SAC	-892.0300000000001	34	50	0	1
22	San Antonio Spurs	SAS	2833.679999999999	68	16	2	0
23	Oklahoma City Thunder	OKC	1456.8700000000001	56	28	0	1
24	Toronto Raptors	TOR	1684.3500000000006	57	27	4	0
25	Utah Jazz	UTA	-105.11000000000004	41	43	0	2
26	Memphis Grizzlies	MEM	160.49000000000026	43	41	0	4
27	Washington Wizards	WAS	87.35999999999999	42	42	3	0
28	Detroit Pistons	DET	189.51999999999995	45	39	1	0
29	Charlotte Hornets	CHA	818.5899999999998	49	35	2	0
